element,atomicnumber,radius_pm
H,1,53
He,2,31
Li,3,167
Be,4,112
B,5,87
C,6,67
N,7,56
O,8,48
F,9,42
Ne,10,38
Na,11,190
Mg,12,145
Al,13,118
Si,14,111
P,15,98
S,16,88
Cl,17,79
Ar,18,71
K,19,243
Ca,20,194
Sc,21,184
Ti,22,176
V,23,171
Cr,24,166
Mn,25,161
Fe,26,156
Co,27,152
Ni,28,149
Cu,29,145
Zn,30,142
Ga,31,136
Ge,32,125
As,33,114
Se,34,103
Br,35,94
Kr,36,88
Rb,37,265
Sr,38,219
Y,39,212
Zr,40,206
Nb,41,198
Mo,42,190
Tc,43,183
Ru,44,178
Rh,45,173
Pd,46,169
Ag,47,165
Cd,48,161
In,49,156
Sn,50,145
Sb,51,133
Te,52,123
I,53,115
Xe,54,108
Cs,55,298
Ba,56,253
La,57,250
Ce,58,250
Pr,59,247
Nd,60,206
Pm,61,205
Sm,62,238
Eu,63,231
Gd,64,233
Tb,65,225
Dy,66,228
Ho,67,227
Er,68,226
Tm,69,222
Yb,70,222
Lu,71,217
Hf,72,208
Ta,73,200
W,74,193
Re,75,188
Os,76,185
Ir,77,180
Pt,78,177
Au,79,174
Hg,80,171
Tl,81,156
Pb,82,154
Bi,83,143
Po,84,135
At,85,127
Rn,86,120
